id,name
349,Central Ave & Woodbine St
350,St Felix Ave & 61 St
351,14 St & 5 Ave
352,23 Ave & 27 St
353,Bainbridge Ave & E 193 St
354,Vernon Blvd & 41 Rd
355,Caton Ave & E 7 St
356,Nassau St & Duffield St
357,Lincoln Pl & Nostrand Ave
358,Stephen St & Seneca Ave
359,40 Ave & 9 St
360,64 St & 51 Ave
361,63 St & 5 Ave
362,Eastern Pkwy & Washington Ave
363,50 St & 30 Ave
364,62 St & 43 Ave
365,St Nicholas Ave & W 137 St
366,Graham Ave & Withers St
367,Riverside Dr & W 104 St
368,Market St & Cherry St
369,India St & Manhattan Ave
370,59 St & 5 Ave
371,Monroe St & Marcus Garvey Blvd
372,Chester Ave & 12 Ave
373,Wadsworth Ave & W 175 St
374,11 St & 44 Rd
375,Hoyt St & Warren St
376,Henry St & Middagh St
377,E 171 St & 3 Ave
378,1 St & 6 Ave
379,Carlton Ave & St Marks Ave
380,Green St & McGuinness Blvd
381,Central Park West & W 85 St
382,Convent Ave & W 151 St
383,Columbus Pl & Atlantic Ave
384,Clinton St & Cherry St
385,President St & Nostrand Ave
386,5 Ave & W 126 St
387,Bainbridge Ave & Bedford Park Blvd
388,Madison Ave & E 51 St
389,64 St & 3 Ave
390,Cedar St & Myrtle Ave
391,Withers St & Kingsland Ave
392,Southern Blvd & E 172 St
393,Empire Blvd & New York Ave
394,Coffey St & Conover St
395,Marcy Ave & Rutledge St
396,Botanical Sq & Webster Ave
397,E 18 St & Church Ave
398,Smith St & 3 St
399,Kingston Ave & Montgomery St
400,Cortelyou Rd & E 34 St
401,St James Pl & Pearl St
402,36 St & 47 Ave
403,100 St & 37 Ave
404,Barry St & Tiffany St
405,1 Ave & E 30 St
406,W 36 St & 9 Ave
407,72 St & Northern Blvd
408,57 Rd & 59 St
409,Page Pl & Grand Ave
410,27 Ave & 9 St
411,Pacific St & Ralph Ave
412,E 153 St & E 157 St
413,Rogers Ave & Snyder Ave
414,W 52 St & 6 Ave
415,E 118 St & Park Ave
416,21 Ave & 80 St
417,31 St & Astoria Blvd
418,MacDougal St & Rockaway Ave
419,53 Ave & 62 St
420,Parade Pl & Crooke Ave
421,Suydam St & St Nicholas Ave
422,92 St & 37 Ave
423,Amsterdam Ave & W 66 St
424,E 51 St & Lexington Ave
425,43 Ave & 40 St
426,West End Ave & W 60 St
427,Washington Park
428,E 141 St & St Ann's Ave
429,58 St & 2 Ave
430,Central Park S & Grand Army Plaza
431,Nassau St & Navy St
432,Bergen Ave & E 152 St
433,Bedford Ave & Nassau Ave
434,48 Ave & 5 St
435,Corona Ave & 102 St
436,Dyckman St & Henshaw St
437,Grand Concourse & E 166 St
438,St Johns Pl & Kingston Ave
439,44 St & Greenpoint Ave
440,56 St & Arnold Ave
441,Academy St & Nagle Ave
442,Flatbush Ave & Eastern Pkwy
443,Walnut Ave & E 136 St
444,Leonard St & Boerum St
445,Dock 72 Way & Market St
446,Nostrand Ave & Myrtle Ave
447,W 160 St & Riverside Dr
448,39 Ave & 45 St
449,7 Ave & W 55 St
450,White St & Moore St
451,W 34 St & Hudson Blvd E
452,E 97 St & 3 Ave
453,Broadway & W 157 St
454,Washington Ave & Park Ave
455,E 115 St & Lexington Ave
456,E 3 St & Church Ave
457,Pacific St & Thomas S. Boyland St
458,Riverside Dr E & W 155 St
459,Grand Ave & 58 Ave
460,3 Ave & E 112 St
461,Greene Ave & Myrtle Ave
462,Clarkson Ave & E 40 St
463,W 133 St & 12 Ave
464,Schenectady Ave & Cortelyou Rd
465,Eastern Pkwy & Schenectady Ave
466,50 Ave & 65 St
467,E 65 St & 2 Ave
468,62 St & 34 Ave
469,Manhattan Ave & Devoe St
470,Audubon Ave & W 192 St
471,Yankee Ferry Terminal
472,43 St & 35 Ave
473,53 St & 2 Ave
474,20 Ave & 38 St
475,Webb Ave & W 190 St
476,Thomas S. Boyland St & Marion St
477,Cypress Ave & George St
478,7 St & 3 Ave
479,Jefferson Ave & Patchen Ave
480,48 St & 50 Ave
481,26 Ave & 2 St
482,Prospect Ave & Jennings St
483,Park Ave & E 124 St
484,Broadway & W 131 St
485,25 Ave & 41 St
486,1 Ave & E 38 St
487,24 Ave & 29 St
488,37 Ave & 35 St
489,Marion Ave & Mosholu Pkwy
490,Popham Ave & W 174 St
491,67 St & Erik Pl
492,Pacific St & Smith St
493,Roosevelt Ave & 104 St
494,37 Ave & 63 St
495,Willoughby Ave & Myrtle Ave
496,E 106 St & 1 Ave
497,Bushwick Ave & Stagg St
498,31 Ave & 57 St
499,S 4 St & Roebling St
500,Front St & Gold St
501,16 St & 4 Ave
502,44 St & 2 Ave
503,36 St & Hunters Point Ave
504,Caton Ave & Argyle Rd
505,71 Ave & Myrtle Ave
506,St Marks Ave & Thomas S. Boyland St
507,W 190 St & Broadway
508,Queens Blvd & 56 Ave
509,Judge St & Britton Ave
510,E 98 St & Park Ave
511,Prospect Park SW & 16 St
512,Myrtle Ave & Linden St
513,3 Ave & E Tremont Ave
514,30 St & 4 Ave
515,Manhattan Ave & Leonard St
516,74 St & Woodside Ave
517,Martense Ave & 108 St
